2022-02-17
7707   2021-11-09   intitle:"Index of" "DCIM/camera"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7714   2021-11-09   "index of" :excel documents   Renuka Kharat   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7716   2021-11-09   intitle:"index of" "node.js"   Priyanshu Choudhary   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7719   2021-11-09   inurl:conf/nginx.conf   Nithissh S   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7721   2021-11-09   inurl:gov.uk & inurl:wp-admin   Krishna Agarwal   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7702   2021-11-09   site:.edu.in inurl:login.php   Anirudh Kumar Kushwaha   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7690   2021-11-09   site:pastebin.com intext:pass.txt   Anirudh Kumar Kushwaha   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
7704   2021-11-09   site:.edu inurl:login "Admin"   Anirudh Kumar Kushwaha   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7694   2021-11-09   inurl:gov.in & inurl:wp-admin   Sabyasachi Paul   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7691   2021-11-09   index of:"seller/login"   Onkar Deshmukh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7675   2021-11-08   site:.edu.in inurl:login.aspx   Mohamed Rahman Shareff S   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7669   2021-11-08   inurl:wp-content/uploads/wooccm_uploads   Stuart Steenberg   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7665   2021-11-08   intitle:"Index of /logs/" "nginx"   jyotiprakash Rabha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7672   2021-11-08   intitle:"index of" Hindi movies   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7678   2021-11-08   intext:"untitled" intext:"admin" filetype:php   Onkar Deshmukh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7652   2021-11-08   index of: "participants" "uploads"   Veeresh Appasaheb Patil   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7664   2021-11-08   intitle"index of" "username" "password" filetype: xlsx   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7676   2021-11-08   site:.edu.in inurl:login.aspx   Mohamed Rahman Shareff S   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7673   2021-11-08   intext:"index of" "wp-uploads"   Krishna Agarwal   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7655   2021-11-08   site:gitlab.* intext:password intext:@gmail.com | @yahoo.com | @hotmail.com   Jorge Manuel Lozano Gómez   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7666   2021-11-08   intext:"index of" "home_page"   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7654   2021-11-08   filetype:txt site:gitlab.* "secret" OR "authtoken"   Jorge Manuel Lozano Gómez   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7682   2021-11-08   intext:"Index of" intext:"password.zip"   Parshwa Bhavsar   Files Containing Passwords   PASSWORDS!!! Google found PASSWORDS!
7667   2021-11-08   inurl:/mutillidae/ "Toggle Hints"   Kin Wong   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7662   2021-11-08   intext:pass filetype:txt   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7660   2021-11-08   intitle:"database" "backup" filetype:sql   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7668   2021-11-08   intext:"index of" inurl:/etc/   Sandesh Ajgekar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7679   2021-11-08   site:gov.in inurl:/admin/login   Suvendu Dash   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7651   2021-11-08   inurl:login.net   Onkar Deshmukh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7681   2021-11-08   inurl:80 ext:php inurl:login   Krishna Agarwal   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7671   2021-11-08   index of: "invoice" "upload"   Raghavaraju Lohitha   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7688   2021-11-08   intitle:"index of" "Apache/2.4.41 (Ubuntu) Server"   Chinmay Divekar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7686   2021-11-08   index of:"blog" "upload"   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7687   2021-11-08   inurl:cache/uploads   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7650   2021-11-08   inurl:4444 ext:php inurl:login   Veeresh Appasaheb Patil   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
7683   2021-11-08   intext:"Index of" intext:"users.zip"   Parshwa Bhavsar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7657   2021-11-08   intitle:"index of" "/.git/config"   Vivek Pancholi   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7661   2021-11-08   intext:"sitemap" filetype:txt   Onkar Deshmukh   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7684   2021-11-08   intext:"Index of" "services.php | pass.php | passwd.php | credentials.txt"   Parshwa Bhavsar   Files Containing Juicy Info   No usernames or passwords, but interesting stuff none the less.
7647   2021-11-08   inurl:gov.in   Onkar Deshmukh   Pages Containing Login Portals   These are login pages for various services. Consider them the front door of a websites more sensitive functions.
